latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.690685,-79.41174,99,-14400,America/Toronto,GMT-4
,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (km/h),surface_pressure (hPa)
2024-03-12T10:00,5.8,77,0,7.4,1000
2024-03-12T11:00,8.2,71,0,3.7,1000.1
2024-03-12T12:00,9.5,69,0,6,999.9
2024-03-12T13:00,10.1,67,0,9.4,999.7
2024-03-12T14:00,10.3,65,0,9.7,999.1
2024-03-12T15:00,10.4,62,0,8.6,998.3
2024-03-12T16:00,11.1,60,0,4.8,997.7
2024-03-12T17:00,11,63,0,5.4,997
2024-03-12T18:00,9.6,70,0,10.1,996.8
2024-03-12T19:00,8.4,71,0,10,996.8
2024-03-12T20:00,7.4,74,0,10.2,996.8
2024-03-12T21:00,8.6,69,0,8.5,996.9
2024-03-12T22:00,8.8,71,0,4.8,997
2024-03-12T23:00,6.6,79,0,2.9,996.4
2024-03-13T00:00,6.4,80,0.2,5.4,996.1
2024-03-13T01:00,7.2,80,0.3,6.1,995.5
2024-03-13T02:00,6.3,82,0,9.9,995.5
2024-03-13T03:00,7.4,75,0,9,995.3
2024-03-13T04:00,5.5,80,0,13,995.3
2024-03-13T05:00,9.1,68,0,7.7,995.5
2024-03-13T06:00,8.8,70,0,5.6,995.9
2024-03-13T07:00,7.9,73,0,5.8,996.2
2024-03-13T08:00,5.3,83,0,6.5,996.2
2024-03-13T09:00,9.8,75,0,7.6,996.4
2024-03-13T10:00,12,73,0,6.5,996.9
2024-03-13T11:00,13.7,68,0,7,997
2024-03-13T12:00,14.9,71,0,9.6,997.1
2024-03-13T13:00,15.9,71,0,12.4,997.1
2024-03-13T14:00,17,69,0,11.9,996.9
2024-03-13T15:00,18.1,56,0,13.1,996.7
2024-03-13T16:00,19.2,24,0,16.9,996.9
2024-03-13T17:00,18.6,26,0,17.7,997.4
2024-03-13T18:00,16.7,39,0,12.7,998.3
2024-03-13T19:00,13.4,55,0,12.7,999.6
2024-03-13T20:00,10.7,63,0,16.1,1000.9
2024-03-13T21:00,9.7,62,0,16.6,1001.6
2024-03-13T22:00,8.4,66,0,15.3,1002.1
2024-03-13T23:00,7.2,70,0,14.8,1002.4
2024-03-14T00:00,6.6,71,0,14.5,1003
2024-03-14T01:00,5.7,73,0,12.4,1003.5
2024-03-14T02:00,4.8,77,0,7.6,1003.9
2024-03-14T03:00,2.7,86,0,8.2,1004.4
2024-03-14T04:00,3,83,0,5.2,1004.4
2024-03-14T05:00,1.8,87,0,4.3,1004.6
2024-03-14T06:00,1.6,88,0,3.8,1005
2024-03-14T07:00,1.1,92,0,5.5,1005.4
2024-03-14T08:00,2.7,85,0,4.5,1005.9
2024-03-14T09:00,4,87,0,2.3,1006.3
2024-03-14T10:00,5.3,88,0,0,1006.4
2024-03-14T11:00,9.2,72,0,2.5,1006.3
2024-03-14T12:00,11.1,68,0,5.2,1005.9
2024-03-14T13:00,11,69,0,6.3,1005.6
2024-03-14T14:00,10.9,71,0,9.1,1004.7
2024-03-14T15:00,9.9,74,0,13.3,1003.7
2024-03-14T16:00,8.8,74,0.1,13.6,1002.8
2024-03-14T17:00,7.2,83,0.5,18.6,1001.6
2024-03-14T18:00,6.4,90,1.3,22.2,1000.4
2024-03-14T19:00,6.3,90,2.3,24.6,999.5
2024-03-14T20:00,6.4,89,3.3,28.5,998.3
2024-03-14T21:00,6,88,6.3,18.8,999.3
2024-03-14T22:00,5.9,89,1.8,21.1,999.6
2024-03-14T23:00,5.9,90,0.9,19.1,999.1
2024-03-15T00:00,5.7,91,0.3,18.1,998.8
2024-03-15T01:00,5.4,90,0.2,13.3,998.6
2024-03-15T02:00,5.2,92,0,11,998.4
2024-03-15T03:00,5,93,0,14.7,998.8
2024-03-15T04:00,4.6,93,0,17.9,999.4
2024-03-15T05:00,4.2,92,0,19.5,999.8
2024-03-15T06:00,4.3,90,0,17.4,1000
2024-03-15T07:00,4.1,91,0,16.4,1001
2024-03-15T08:00,4,92,0,13.2,1001.8
2024-03-15T09:00,5.9,85,0,17.8,1002
2024-03-15T10:00,6.9,83,0,15.7,1001.9
2024-03-15T11:00,8.6,74,0,14.9,1002.5
2024-03-15T12:00,9.4,70,0,10.5,1002.4
2024-03-15T13:00,10.7,64,0,7.4,1001.8
2024-03-15T14:00,11.6,58,0,6.6,1001
2024-03-15T15:00,11.3,58,0,7.1,1000.2
2024-03-15T16:00,10.5,73,0.1,7.9,999.8
2024-03-15T17:00,9.1,74,0.6,12.4,1000.2
2024-03-15T18:00,8.1,62,0,14.6,1000.5
2024-03-15T19:00,6.2,67,0,13.6,1000.4
2024-03-15T20:00,4.2,69,0,17,1000.4
2024-03-15T21:00,3.5,78,0,17.3,1001.2
2024-03-15T22:00,2.9,78,0,18.4,1001.5
2024-03-15T23:00,2.3,80,0,13.2,1001.3
2024-03-16T00:00,1,86,0,9.7,1001.3
2024-03-16T01:00,0.2,89,0,8.7,1001.3
2024-03-16T02:00,-0.6,90,0,6.3,1001.1
2024-03-16T03:00,-1.4,91,0,5,1001
2024-03-16T04:00,-1.6,91,0,5.2,1000.9
2024-03-16T05:00,-2.6,92,0,6.6,1000.2
2024-03-16T06:00,-3,92,0,6.5,1000
2024-03-16T07:00,-3,91,0,6.6,999.9
2024-03-16T08:00,-2.2,90,0,4,999.9
2024-03-16T09:00,1.4,86,0,10.8,999.5
2024-03-16T10:00,2.5,81,0,11.3,998.6
